TreeID,long,lat,species,latin species,year planted,diameter canopy,dbh,height,biomass
320,390018.803,5816672,Winter-Linde,Tilia cordata,1931,8,64.93521678,16,58.80159944
321,389998.8999,5816657,Echte Mehlbeere,Sorbus aria,1973,,39.152116,,594.0593104
322,389992.2371,5816653,Ulme,Ulmus spec.,1972,6,36.28732702,17,14.63498502
323,389988.9415,5816650,Ulme,Ulmus spec.,1974,8,35.01408748,16,14.22725037
324,389983.5585,5816645,"Berg-Ahorn, Weiss-Ahorn",Acer pseudoplatanus,1953,8,54.11268065,17,57.75882906
325,389977.4327,5816635,Hainbuche,Carpinus betulus,1946,8,56.02253997,18,1842.737116
326,389968.7242,5816634,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1938,9,62.70704758,25,1059.478788
327,389970.5128,5816616,Spitz-Ahorn,Acer platanoides,1875,14,109.180291,18,352.0669447
328,389977.1699,5816616,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1955,8,49.01972247,17,639.3150836
329,389981.0178,5816622,Eiche,Quercus spec.,1954,12,48.70141259,20,630.8283874
330,389979.1132,5816629,Spitz-Ahorn,Acer platanoides,1945,10,55.3859202,22,61.32361269
331,389988.648,5816625,Spitz-Ahorn,Acer platanoides,1955,10,44.88169395,20,35.68153259
332,389991.4072,5816633,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1946,9,56.97746963,20,870.4245243
333,389995.3123,5816633,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1953,10,50.6112719,16,682.6209573
334,389996.7912,5816630,"Sommer-Eiche, Stiel-Eiche",Quercus robur,1947,11,53.79437077,17,773.6021954
335,390005.4596,5816634,Spitz-Ahorn,Acer platanoides,1963,8,41.69859509,17,29.52396462
336,390009.4242,5816635,Robinie,Robinia pseudoacacia,1959,8,44.24507418,18,901.1162376
337,390015.3799,5816636,Spitz-Ahorn,Acer platanoides,1963,7,42.65352475,20,31.29658342
338,390004.8749,5816642,Linde,Tilia spec.,1945,8,54.43099054,20,38.13412946
339,390012.4867,5816650,Winter-Linde,Tilia cordata,1943,10,59.20563883,20,46.87415482
